t,i1,q1,q2,i2,p
1033,0,0,0,0,4096
1034,0,0,0,0,4096
1035,0,0,0,0,4096
1036,0,0,0,0,4096
1037,0,0,0,0,0
1038,0,0,0,0,0
1039,0,0,0,0,0
1040,0,0,0,0,0
1041,0,0,0,0,4096
1042,0,0,0,0,4096
1043,0,0,0,0,4096
1044,0,0,0,0,4096
1045,0,0,0,0,4096
1046,0,0,0,0,0
1047,0,0,0,0,0
1048,0,0,0,0,0
1049,0,0,0,0,0
1050,0,0,0,0,0
1051,0,0,0,0,4096
1052,0,0,0,0,4096
1053,0,0,0,0,4096
1054,0,0,0,0,4096
1055,0,0,0,0,4096
1056,0,0,0,0,4096
1057,0,0,0,0,0
1058,0,0,0,0,0
1059,0,0,0,0,0
1060,0,0,0,0,0
1061,0,0,0,0,0
1062,0,0,0,0,4096
1063,0,0,0,0,4096
1064,0,0,0,0,4096
1065,0,0,0,0,4096
1066,0,0,0,0,4096
1067,0,0,0,0,0
1068,0,0,0,0,0
1069,0,0,0,0,0
1070,0,0,0,0,0
1071,0,0,0,0,4096
1072,0,0,0,0,4096
1073,0,0,0,0,4096
1074,0,0,0,0,4096
1075,0,0,0,0,4096
1076,0,0,0,0,4096
1077,0,0,0,0,4096
1078,0,0,0,0,0
1079,0,0,0,0,0
1080,0,0,0,0,0
1081,0,0,0,0,0
1082,0,0,0,0,4096
1083,1853,0,0,0,4096
1084,2543,0,0,0,4096
1085,2845,0,0,0,4096
1086,905,0,0,0,4096
1087,0,4096,0,0,0
1088,0,4096,0,0,0
1089,0,4096,0,0,0
1090,0,4096,0,0,0
1091,0,4096,0,0,0
1092,0,4096,0,0,4096
1093,0,3172,0,0,4096
1094,0,3172,0,0,4096
1095,0,1057,0,0,4096
1096,0,0,0,0,4096
1097,0,0,0,0,4096
